Inf,Name,Media Description,Age,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,CA,PA
,Lionel Messi,Legendary winger,36,15,15,20,17,19,18,10,16,4,4,19,17,7,20,7,16,10,16,13,18,18,20,14,14,5,14,20,9,16,15,18,6,14,15,13,9,184,200
,Kylian Mbappé,Elite striker,24,13,12,18,17,18,11,8,15,3,4,15,18,4,17,6,17,12,17,14,15,16,18,13,17,3,10,15,12,20,16,14,8,15,20,14,11,188,197
Inj,Kevin De Bruyne,Legendary attacking midfielder,32,13,18,15,15,15,16,5,16,6,8,17,14,8,17,12,13,13,13,14,17,15,16,13,14,9,13,19,14,15,12,13,9,16,13,15,12,181,190
,Rodri,Elite midfielder,27,4,8,13,13,15,8,13,15,7,13,16,8,17,14,13,17,15,20,17,18,11,9,11,14,17,16,16,16,14,13,12,17,16,13,17,16,180,180
,Erling Haaland,Elite striker,22,7,10,14,18,16,13,15,13,5,6,13,17,7,15,15,19,15,18,15,15,18,16,13,18,7,14,14,13,17,16,17,18,19,19,14,17,188,195
,Mohamed Salah,Elite winger,31,11,16,16,16,17,12,10,13,6,7,15,17,6,17,11,16,10,15,14,16,16,15,11,17,8,16,17,16,18,16,17,8,17,17,15,15,179,187
,Bernardo Silva,Elite attacking midfielder,28,14,15,17,15,17,13,10,13,2,12,17,13,8,18,13,16,15,16,15,15,14,17,12,17,13,17,17,20,15,19,16,7,17,14,17,9,175,180
,Harry Kane,Legendary striker,29,9,15,14,19,15,11,16,15,6,8,18,20,9,17,11,15,14,18,15,18,17,12,16,17,8,18,19,16,12,12,15,15,16,14,16,15,184,185
,Jude Bellingham,Wonderkid,20,11,12,17,16,16,11,14,13,6,12,17,13,15,17,17,16,17,17,14,15,18,18,17,17,12,16,16,18,15,15,15,12,16,14,16,13,182,192
,Robert Lewandowski,Elite striker,34,3,8,13,18,18,15,17,12,3,7,13,19,7,16,14,17,15,17,17,17,18,14,15,18,7,14,14,15,13,13,18,15,18,14,16,16,176,190
,Vinícius Júnior,Elite winger,22,7,13,19,16,14,8,12,12,4,3,15,12,6,15,17,16,17,15,12,16,18,16,13,17,9,13,14,14,19,16,16,8,15,18,16,12,184,195
,Rúben Dias,Elite centre-back,26,4,11,12,6,13,5,15,4,5,17,14,8,18,13,16,17,18,15,15,15,16,8,17,8,17,16,13,17,13,13,12,16,18,13,18,16,173,177
Inj,Neymar,Elite winger,31,16,16,20,16,18,17,8,15,4,4,17,19,5,20,10,15,14,17,10,14,14,20,14,16,4,8,17,9,15,15,14,6,14,15,13,11,168,190
,Antoine Griezmann,Elite attacking midfielder,32,14,15,16,14,17,14,13,14,4,7,16,13,10,17,12,15,13,13,13,15,15,17,12,16,9,14,17,14,15,14,14,9,15,14,15,10,171,180
nEU,Victor Osimhen,Elite striker,24,4,7,13,18,14,5,18,12,4,4,12,14,7,14,15,15,11,15,13,13,13,14,10,19,5,12,11,13,17,15,16,15,15,19,13,15,169,175
Wnt,Heung-Min Son,Elite striker,30,12,12,12,18,13,13,8,16,6,5,13,9,6,17,8,17,6,17,11,15,12,13,17,17,7,14,12,17,16,14,12,10,16,16,16,10,170,173
,Phil Foden,Elite attacking midfielder,23,13,13,17,14,17,13,8,13,5,8,17,12,8,17,7,14,13,16,15,15,12,16,8,16,10,14,17,16,16,17,15,7,14,16,15,9,176,185
,Joshua Kimmich,Elite midfielder,28,15,16,12,10,16,15,10,15,14,12,18,14,13,16,15,15,14,17,13,14,18,13,16,12,12,17,18,20,12,12,13,10,20,12,19,11,169,183
,Rodrygo,Elite winger,22,11,12,17,17,15,14,12,14,8,5,15,12,6,15,11,14,14,15,14,15,12,15,12,17,10,13,13,15,15,17,16,9,12,16,15,13,170,183
nEU,Lautaro Martínez,Elite striker,25,4,8,14,17,16,8,16,15,4,5,12,15,8,16,18,15,18,15,12,14,17,17,16,17,7,15,12,18,16,16,14,11,20,16,19,13,173,177
,Cristiano Ronaldo,Elite striker,38,10,11,13,18,15,13,18,15,5,3,13,20,5,17,6,17,13,15,10,12,18,17,19,18,4,7,13,7,12,11,13,16,20,13,13,15,160,196
,Virgil van Dijk,Elite centre-back,31,3,6,13,8,17,13,17,7,8,16,16,11,17,16,16,16,15,17,16,16,14,11,17,8,16,16,14,15,15,12,15,17,17,15,15,17,175,183
Wnt,Nicolò Barella,World class midfielder,26,12,12,14,12,15,14,6,14,4,11,16,11,16,15,20,14,17,13,10,14,17,14,15,16,13,17,16,18,15,14,16,7,17,14,17,12,161,169
,Rafael Leão,Elite winger,24,8,14,17,14,16,7,11,13,7,5,14,12,6,14,7,15,8,12,10,12,12,18,9,15,6,12,14,10,17,18,16,13,16,17,12,14,163,176
Inj,John Stones,Elite centre-back,29,4,6,14,8,14,5,14,6,8,13,16,12,15,16,13,16,17,18,16,15,11,12,13,15,16,16,14,17,14,13,12,16,16,15,16,15,158,170
,Gabriel Jesus,Elite striker,26,8,12,16,14,15,11,15,12,4,7,14,13,8,16,14,16,14,14,14,15,13,16,12,16,10,18,14,18,15,16,15,10,15,15,15,14,165,175
