Inf,Name,Position,Age,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,CA,PA
,Lionel Messi,AM (RC)/ ST (C),36,15,15,20,17,19,18,10,16,4,4,19,17,7,20,7,16,10,16,13,18,18,20,14,14,5,14,20,9,16,15,18,6,14,15,13,9,184,200
,Kylian Mbappé,AM (RL)/ ST (C),24,13,12,18,17,18,11,8,15,3,4,15,18,4,17,6,17,12,17,14,15,16,18,13,17,3,10,15,12,20,16,14,8,15,20,14,11,188,197
Inj,Kevin De Bruyne,M (RLC)/ AM (C),32,13,18,15,15,15,16,5,16,6,8,17,14,8,17,12,13,13,13,14,17,15,16,13,14,9,13,19,14,15,12,13,9,16,13,15,12,181,190
,Erling Haaland,ST (C),22,7,10,14,18,16,13,15,13,5,6,13,17,7,15,15,19,15,18,15,15,18,16,13,18,7,14,14,13,17,16,17,18,19,19,14,17,188,195
,Rodri,D (C)/ DM/ M (C),27,4,8,13,13,15,8,13,15,7,13,16,8,17,14,13,17,15,20,17,18,11,9,11,14,17,16,16,16,14,13,12,17,16,13,17,16,180,180
,Mohamed Salah,AM (RL)/ ST (C),31,11,16,16,16,17,12,10,13,6,7,15,17,6,17,11,16,10,15,14,16,16,15,11,17,8,16,17,16,18,16,17,8,17,17,15,15,179,187
,Bernardo Silva,M/AM (RC),28,14,15,17,15,17,13,10,13,2,12,17,13,8,18,13,16,15,16,15,15,14,17,12,17,13,17,17,20,15,19,16,7,17,14,17,9,175,180
,Harry Kane,AM (C)/ ST (C),29,9,15,14,19,15,11,16,15,6,8,18,20,9,17,11,15,14,18,15,18,17,12,16,17,8,18,19,16,12,12,15,15,16,14,16,15,184,185
,Jude Bellingham,DM/ M/AM (C),20,11,12,17,16,16,11,14,13,6,12,17,13,15,17,17,16,17,17,14,15,18,18,17,17,12,16,16,18,15,15,15,12,16,14,16,13,182,192
,Robert Lewandowski,ST (C),34,3,8,13,18,18,15,17,12,3,7,13,19,7,16,14,17,15,17,17,17,18,14,15,18,7,14,14,15,13,13,18,15,18,14,16,16,176,190
,Vinícius Júnior,AM (RL)/ ST (C),22,7,13,19,16,14,8,12,12,4,3,15,12,6,15,17,16,17,15,12,16,18,16,13,17,9,13,14,14,19,16,16,8,15,18,16,12,184,195
,Ederson,GK,29,3,3,11,3,14,8,9,12,1,1,18,12,3,17,12,17,18,20,16,15,14,1,7,15,16,14,17,13,14,13,13,13,15,13,14,13,177,180
,Rúben Dias,D (C),26,4,11,12,6,13,5,15,4,5,17,14,8,18,13,16,17,18,15,15,15,16,8,17,8,17,16,13,17,13,13,12,16,18,13,18,16,173,177
Inj,Neymar,AM (LC)/ ST (C),31,16,16,20,16,18,17,8,15,4,4,17,19,5,20,10,15,14,17,10,14,14,20,14,16,4,8,17,9,15,15,14,6,14,15,13,11,168,190
nEU,Victor Osimhen,ST (C),24,4,7,13,18,14,5,18,12,4,4,12,14,7,14,15,15,11,15,13,13,13,14,10,19,5,12,11,13,17,15,16,15,15,19,13,15,169,175
,Antoine Griezmann,AM (RLC)/ ST (C),32,14,15,16,14,17,14,13,14,4,7,16,13,10,17,12,15,13,13,13,15,15,17,12,16,9,14,17,14,15,14,14,9,15,14,15,10,171,180
Wnt,Heung-Min Son,M/AM (L)/ ST (C),30,12,12,12,18,13,13,8,16,6,5,13,9,6,17,8,17,6,17,11,15,12,13,17,17,7,14,12,17,16,14,12,10,16,16,16,10,170,173
,Alisson,GK,30,1,1,10,2,13,2,7,3,3,2,14,5,1,13,12,17,14,15,16,16,17,13,11,11,18,11,11,17,13,16,16,14,17,12,12,15,172,180
,Virgil van Dijk,D (C),31,3,6,13,8,17,13,17,7,8,16,16,11,17,16,16,16,15,17,16,16,14,11,17,8,16,16,14,15,15,12,15,17,17,15,15,17,175,183
nEU,Lautaro Martínez,ST (C),25,4,8,14,17,16,8,16,15,4,5,12,15,8,16,18,15,18,15,12,14,17,17,16,17,7,15,12,18,16,16,14,11,20,16,19,13,173,177
,Joshua Kimmich,D/WB (R)/ DM/ M (C),28,15,16,12,10,16,15,10,15,14,12,18,14,13,16,15,15,14,17,13,14,18,13,16,12,12,17,18,20,12,12,13,10,20,12,19,11,169,183
,Marc-André ter Stegen,GK,31,4,3,2,2,13,6,7,1,2,2,17,3,3,14,11,17,15,18,16,13,16,5,15,1,13,14,9,10,14,14,16,16,15,11,13,15,169,183
,Cristiano Ronaldo,ST (C),38,10,11,13,18,15,13,18,15,5,3,13,20,5,17,6,17,13,15,10,12,18,17,19,18,4,7,13,7,12,11,13,16,20,13,13,15,160,196
,Phil Foden,M (C)/ AM (RLC),23,13,13,17,14,17,13,8,13,5,8,17,12,8,17,7,14,13,16,15,15,12,16,8,16,10,14,17,16,16,17,15,7,14,16,15,9,176,185
,Rodrygo,AM (RL)/ ST (C),22,11,12,17,17,15,14,12,14,8,5,15,12,6,15,11,14,14,15,14,15,12,15,12,17,10,13,13,15,15,17,16,9,12,16,15,13,170,183
Inj,John Stones,D (RC)/ DM,29,4,6,14,8,14,5,14,6,8,13,16,12,15,16,13,16,17,18,16,15,11,12,13,15,16,16,14,17,14,13,12,16,16,15,16,15,158,170
